version_uri,book,author_id,genre,genre_source,author_genre,admission_path,note
0728IbnTaymiyya.AmradQulub.JK000079-ara1,0728IbnTaymiyya.AmradQulub,0728IbnTaymiyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0728IbnTaymiyya.Istiqama.JK000028-ara1,0728IbnTaymiyya.Istiqama,0728IbnTaymiyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0728IbnTaymiyya.MajmucatRasailWaMasail.Shamela0011730-ara1,0728IbnTaymiyya.MajmucatRasailWaMasail,0728IbnTaymiyya,adab_prose,title,other,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0728IbnTaymiyya.QacidaFiMahabba.JK000379-ara1,0728IbnTaymiyya.QacidaFiMahabba,0728IbnTaymiyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0728IbnTaymiyya.RisalaFiTahqiqShukr.JK000900-ara1,0728IbnTaymiyya.RisalaFiTahqiqShukr,0728IbnTaymiyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0728IbnTaymiyya.RisalaFiWaIstacinuBiSabr.JK000898-ara1,0728IbnTaymiyya.RisalaFiWaIstacinuBiSabr,0728IbnTaymiyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0728IbnTaymiyya.TuhfaCiraqiyya.JK000075-ara1,0728IbnTaymiyya.TuhfaCiraqiyya,0728IbnTaymiyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0728IbnTaymiyya.ZuhdWaWarac.JK000077-ara1,0728IbnTaymiyya.ZuhdWaWarac,0728IbnTaymiyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0748Dhahabi.WasiyyaLiMuhammadIbnRafic.JK009400-ara1,0748Dhahabi.WasiyyaLiMuhammadIbnRafic,0748Dhahabi,adab_prose,tag:_AKHLAQ,hadith_collection,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0748Dhahabi.ZaghlCilm.JK006953-ara1,0748Dhahabi.ZaghlCilm,0748Dhahabi,adab_prose,tag:_AKHLAQ,hadith_collection,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0751IbnQayyimJawziyya.BadaicFawaid.JK000064-ara1,0751IbnQayyimJawziyya.BadaicFawaid,0751IbnQayyimJawziyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0751IbnQayyimJawziyya.CuddatSabirin.JK000057-ara1,0751IbnQayyimJawziyya.CuddatSabirin,0751IbnQayyimJawziyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0751IbnQayyimJawziyya.DaWaDawa.JK000062-ara1,0751IbnQayyimJawziyya.DaWaDawa,0751IbnQayyimJawziyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0751IbnQayyimJawziyya.Fawaid.JK000060-ara1,0751IbnQayyimJawziyya.Fawaid,0751IbnQayyimJawziyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0751IbnQayyimJawziyya.JalaAfham.JK000088-ara1,0751IbnQayyimJawziyya.JalaAfham,0751IbnQayyimJawziyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0751IbnQayyimJawziyya.JawabFiSiyaghHamd.JK000059-ara1,0751IbnQayyimJawziyya.JawabFiSiyaghHamd,0751IbnQayyimJawziyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0751IbnQayyimJawziyya.MadarijSalikin.JK000081-ara1,0751IbnQayyimJawziyya.MadarijSalikin,0751IbnQayyimJawziyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0751IbnQayyimJawziyya.RawdatMuhibbin.JK000063-ara1,0751IbnQayyimJawziyya.RawdatMuhibbin,0751IbnQayyimJawziyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0751IbnQayyimJawziyya.RisalaTabukiyya.JK000058-ara1,0751IbnQayyimJawziyya.RisalaTabukiyya,0751IbnQayyimJawziyya,adab_prose,tag:_AKHLAQ,other,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0845Maqrizi.Rasail.Shamela0010710-ara1,0845Maqrizi.Rasail,0845Maqrizi,adab_prose,title,other,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0879IbnQutlubugha.MajmucRasail.Sham19Y0016817-ara1,0879IbnQutlubugha.MajmucRasail,0879IbnQutlubugha,adab_prose,title,biography,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0157AbuMikhnafAzdi.MaqtalHusayn.Shia003665-ara1,0157AbuMikhnafAzdi.MaqtalHusayn,0157AbuMikhnafAzdi,biography,tag:_SIRA,biography,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1,0213IbnHisham.SiraNabawiyya,0213IbnHisham,biography,title,biography,standard,fallback tytulowy → biography (09_DECISIONS.md §4 krok 2)
0230IbnSacd.TabaqatKubra.ShamAY0035884-ara1,0230IbnSacd.TabaqatKubra,0230IbnSacd,biography,title,biography,standard,fallback tytulowy → biography (09_DECISIONS.md §4 krok 2)
0430AbuNucaymIsbahani.DalailNubuwwa.Shamela0010637-ara1,0430AbuNucaymIsbahani.DalailNubuwwa,0430AbuNucaymIsbahani,biography,tag:_SIRA,hadith_collection,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0450AbuHasanMawardi.AclamNubuwwa.JK000545-ara1,0450AbuHasanMawardi.AclamNubuwwa,0450AbuHasanMawardi,biography,tag:_SIRA,fiqh,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0456IbnHazm.JawamicSira.Shamela0009728-ara1,0456IbnHazm.JawamicSira,0456IbnHazm,biography,tag:_SIRA,hadith_collection,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0463KhatibBaghdadi.MuttafiqWaMuftariq.Shamela0009076-ara1,0463KhatibBaghdadi.MuttafiqWaMuftariq,0463KhatibBaghdadi,biography,tag:_TABAQAT,hadith_collection,standard,"tag OpenITI _TABAQAT → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0494HakimJushami.TanbihGhafilin.Shia003691-ara1,0494HakimJushami.TanbihGhafilin,0494HakimJushami,biography,tag:_SIRA,tafsir,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0510IbnMascudBaghawi.AnwarFiShamailNabi.Shamela0010803-ara1,0510IbnMascudBaghawi.AnwarFiShamailNabi,0510IbnMascudBaghawi,biography,tag:_SIRA,tafsir,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0544QadiCiyad.Shifa.Shamela0023645-ara1,0544QadiCiyad.Shifa,0544QadiCiyad,biography,tag:_SIRA,hadith_collection,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0548IbnHasanTabarsi.IclamWara.Shia003695Vols-ara1,0548IbnHasanTabarsi.IclamWara,0548IbnHasanTabarsi,biography,tag:_SIRA,tafsir,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0562Samcani.Muntakhab.Shamela0021556-ara1,0562Samcani.Muntakhab,0562Samcani,biography,tag:_TABAQAT,biography,standard,"tag OpenITI _TABAQAT → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0581AbuQasimSuhayli.RawdUnuf.Masaha002028Vols-ara1,0581AbuQasimSuhayli.RawdUnuf,0581AbuQasimSuhayli,biography,tag:_SIRA,biography,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0597IbnJawzi.WafaBiAhwalMustafa.ShamAY0037387-ara1,0597IbnJawzi.WafaBiAhwalMustafa,0597IbnJawzi,biography,tag:_SIRA,history,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0606FakhrDinRazi.CismatAnbiya.Shia003701-ara1,0606FakhrDinRazi.CismatAnbiya,0606FakhrDinRazi,biography,tag:_SIRA,tafsir,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0634AbuRabicHimyari.Iktifa.Shamela0009770-ara1,0634AbuRabicHimyari.Iktifa,0634AbuRabicHimyari,biography,tag:_SIRA,biography,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0646IbnQifti.InbahRuwat.Shamela0010525-ara1,0646IbnQifti.InbahRuwat,0646IbnQifti,biography,tag:_TABAQAT,biography,standard,"tag OpenITI _TABAQAT → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0692IbnCabdZahir.RawdZahir.GVDB20200120-ara1,0692IbnCabdZahir.RawdZahir,0692IbnCabdZahir,biography,title,biography,standard,fallback tytulowy → biography (09_DECISIONS.md §4 krok 2)
0692IbnCabdZahir.TashrifAyyam.GVDB20200720-ara1,0692IbnCabdZahir.TashrifAyyam,0692IbnCabdZahir,biography,title,biography,standard,fallback tytulowy → biography (09_DECISIONS.md §4 krok 2)
0694MuhibbDinTabari.KhulasatSiyar.JK001117-ara1,0694MuhibbDinTabari.KhulasatSiyar,0694MuhibbDinTabari,biography,tag:_SIRA,biography,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0694MuhibbDinTabari.RiyadNadira.Shamela0008657-ara1,0694MuhibbDinTabari.RiyadNadira,0694MuhibbDinTabari,biography,tag:_TABAQAT,biography,standard,"tag OpenITI _TABAQAT → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0748Dhahabi.DiwanDucafa.Shamela0096955-ara1,0748Dhahabi.DiwanDucafa,0748Dhahabi,biography,tag:_TABAQAT,hadith_collection,standard,"tag OpenITI _TABAQAT → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0748Dhahabi.MacrifaQurraKibar.JK000443-ara1,0748Dhahabi.MacrifaQurraKibar,0748Dhahabi,biography,title,hadith_collection,standard,fallback tytulowy → biography (09_DECISIONS.md §4 krok 2)
0748Dhahabi.MucjamShuyukh.Shamela0012531-ara1,0748Dhahabi.MucjamShuyukh,0748Dhahabi,biography,tag:_TABAQAT,hadith_collection,standard,"tag OpenITI _TABAQAT → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0748Dhahabi.Nubdha.LMN20201019-ara1,0748Dhahabi.Nubdha,0748Dhahabi,biography,title,hadith_collection,standard,fallback tytulowy → biography (09_DECISIONS.md §4 krok 2)
0751IbnQayyimJawziyya.ZadMacad.JK000105-ara1,0751IbnQayyimJawziyya.ZadMacad,0751IbnQayyimJawziyya,biography,tag:_SIRA,other,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0764Safadi.AcyanCasr.Shamela0000131-ara1,0764Safadi.AcyanCasr,0764Safadi,biography,tag:_TABAQAT,biography,standard,"tag OpenITI _TABAQAT → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0764Safadi.NaktHimyan.JK010550-ara1,0764Safadi.NaktHimyan,0764Safadi,biography,tag:_TABAQAT,biography,standard,"tag OpenITI _TABAQAT → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0764Safadi.WafiBiWafayat.JK003609-ara1,0764Safadi.WafiBiWafayat,0764Safadi,biography,title,biography,standard,fallback tytulowy → biography (09_DECISIONS.md §4 krok 2)
0771TajDinSubki.MucjamShuyukh.Shamela0026389-ara1,0771TajDinSubki.MucjamShuyukh,0771TajDinSubki,biography,tag:_TABAQAT,history,standard,"tag OpenITI _TABAQAT → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0774IbnKathir.FusulMinSira.JK000796-ara1,0774IbnKathir.FusulMinSira,0774IbnKathir,biography,tag:_SIRA,history,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0774IbnKathir.QisasAnbiya.Shia003721Vols-ara1,0774IbnKathir.QisasAnbiya,0774IbnKathir,biography,tag:_SIRA,history,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0774IbnKathir.TabaqatFuqahaShaficiyyin.Shamela0012860-ara1,0774IbnKathir.TabaqatFuqahaShaficiyyin,0774IbnKathir,biography,tag:_TABAQAT,history,standard,"tag OpenITI _TABAQAT → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0774IbnKathir.Takmil.Shamela0096228-ara1,0774IbnKathir.Takmil,0774IbnKathir,biography,tag:_TABAQAT,history,standard,"tag OpenITI _TABAQAT → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0775IbnAbiWafa.JawahirMudiya.JK000806BK1-ara1,0775IbnAbiWafa.JawahirMudiya,0775IbnAbiWafa,biography,title,biography,standard,fallback tytulowy → biography (09_DECISIONS.md §4 krok 2)
0804IbnMulaqqin.CiqdMudhhab.Sham19Y0016664-ara1,0804IbnMulaqqin.CiqdMudhhab,0804IbnMulaqqin,biography,title,hadith_collection,standard,fallback tytulowy → biography (09_DECISIONS.md §4 krok 2)
0804IbnMulaqqin.GhayatSul.JK001472-ara1,0804IbnMulaqqin.GhayatSul,0804IbnMulaqqin,biography,tag:_SIRA,hadith_collection,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0845Maqrizi.NizacWaTakhasum.Shia003725-ara1,0845Maqrizi.NizacWaTakhasum,0845Maqrizi,biography,tag:_SIRA,other,standard,"tag OpenITI _SIRA → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0879IbnQutlubugha.Thiqat.Shamela0096165-ara1,0879IbnQutlubugha.Thiqat,0879IbnQutlubugha,biography,tag:_TABAQAT,biography,standard,"tag OpenITI _TABAQAT → biography (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0309KuracNaml.MunajjadFiLugha.Shamela0036950-ara1,0309KuracNaml.MunajjadFiLugha,0309KuracNaml,fiqh,tag:_FIQH,theology,standard,"tag OpenITI _FIQH → fiqh (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0310Tabari.IkhtilafFuqaha.JK000300-ara1,0310Tabari.IkhtilafFuqaha,0310Tabari,fiqh,tag:_FIQH,history,standard,"tag OpenITI _FIQH → fiqh (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0370IbnCaliJassas.FusulFiUsul.JK000286-ara1,0370IbnCaliJassas.FusulFiUsul,0370IbnCaliJassas,fiqh,tag:_FIQH,other,standard,"tag OpenITI _FIQH → fiqh (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
